"","IonQ","Senior Software Engineer","Backend","IC-3","Full Remote","In Office","USD","159","172","185","","","","","",""
"","6omb AI","Senior Javascript Full-Stack Developer","Full-stack","IC-3","N/A","Full Remote","USD","50","62.5","75","","","","","",""
"","Mercadona Tech","Product Designer","Product","P-2","Valencia","In Office","EUR","38","40","42","","","","","",""
"","Xcelirate","Senior DevOps Engineer","Devops","IC-3","N/A","Full Remote","EUR","75","75","75","","","","","",""
"","Notikumi","Senior Java Developer","Backend","IC-3","N/A","Full Remote","EUR","40","45","50","","","","","",""
"","Root","CTO","Management","M-8","N/A","Full Remote","BP","55","60","65","","","","","",""
"","leemons","Node Developer","Frontend","IC-2","N/A","Full Remote","EUR","35","40","45","","","","","",""
"","Tymit","Platform Lead","Backend","IC-6","N/A","Full Remote","EUR","85","90","95","","","","","",""
"","Driblab","Junior Machine Learning Engineer","Machine Learning","IC-1","N/A","Full Remote","EUR","23","29","35","","","","","",""
"","Pagoda","Senior Software Engineer","Backend","IC-3","N/A","Full Remote","USD","176","188","200","","","","","",""
"","Prismic","Senior BackEnd Engineer","Backend","IC-3","N/A","Full Remote","EUR","72","75.5","79","","","","","",""
"","Rankia","Frontend Developer","Frontend","IC-2","N/A","Full Remote","EUR","35","40","45","","","","","",""
"","Alhona","DevOps Engineer","Devops","IC-2","N/A","Full Remote","EUR","40","47.5","55","","","","","",""
"","Keapps","iOS Developer","Mobile","IC-2","N/A","Full Remote","EUR","30","34","38","","","","","",""
"","NexTeam AI","Senior BackEnd Engineer","Backend","IC-3","N/A","Full Remote","USD","85","107.5","130","","","","","",""
"","Elixir Games","React Developer","Frontend","IC-2","N/A","Full Remote","EUR","24","26","28","","","","","",""
"","Medusa","Senior Software Engineer","Backend","IC-3","N/A","Full Remote","USD","100","115","130","","","","","",""
"","Flood","Full-Stack Engineer","Full-stack","IC-2","N/A","Full Remote","USD","80","100","120","","","","","",""
"","MSCTV","Angular Developer","Frontend","IC-2","Valencia","In Office","EUR","30","34","38","","","","","",""
"","Voltron Data","Staff Build Engineer","Devops","IC-4","N/A","Full Remote","USD","167","188.5","210","","","","","",""
"","Jitera","Product Manager","Product","P-4","N/A","Full Remote","EUR","65","75","85","","","","","",""
"","AdsMurai","PHP Backend Developer","Backend","IC-2","N/A","Full Remote","EUR","30","40","50","","","","","",""
"","Sincrolab","Senior Data Engineer","Data","IC-3","N/A","Full Remote","EUR","50","55","60","","5","","","",""
"","Novatec","Full-Stack Developer","Full-stack","IC-2","N/A","Full Remote","EUR","30","40","50","","","","","",""
"","Phototeca","Java Back-end Engineer","Backend","IC-2","N/A","Full Remote","USD","80","100","120","","","","","",""
"","Sourcegraph","Project Manager","Product","P-3","N/A","Full Remote","EUR","165","165","165","","","","","",""
"","Fever","Senior iOS Engineer","Mobile","IC-3","N/A","Full Remote","EUR","67","78.5","90","","","","","",""
"","Alice","Vue Frontend Developer","Frontend","IC-2","N/A","Full Remote","EUR","30","32.5","35","","3","","","",""
"","Lilfull Connect","Senior SysOps","Devops","IC-3","N/A","Full Remote","EUR","65","70","75","","","","","",""
"","Gray Matter","Senior Full-Stack Developer","Full-stack","IC-3","N/A","Full Remote","EUR","40","50","60","","","","","",""
"","Eruditai","Senior Software Engineer","Backend","IC-3","N/A","Full Remote","EUR","40","65","90","","","","","",""
"","Nolea","Data Engineer","Data","IC-2","N/A","Full Remote","BP","70","75","80","","","","","",""
"","Joinup","Senior Python Developer","Backend","IC-3","N/A","Full Remote","EUR","50","55","60","","","","","",""
"","Coallition Technologies","Frontend Developer","Frontend","IC-2","N/A","Full Remote","USD","31","51.5","72","","","","","",""
"","Plexigrid","Frontend Developer","Frontend","IC-2","Gijón","Hybrid","EUR","30","31.5","33","","","","","",""
"","Qatium","Platform Engineer","Backend","IC-2","N/A","Full Remote","EUR","45","52.5","60","","","","","",""
"","Mr. Milú","Senior Cloud Engineer","Backend","IC-3","N/A","Full Remote","EUR","50","52.5","55","","","","","",""
"","Omnios","Full-Stack Developer","Full-stack","IC-2","Barcelona","Full Remote","EUR","40","45","50","","","","","",""
"","The Mill Adventure","Senior DevOps Engineer","Devops","IC-3","N/A","Full Remote","EUR","70","72.5","75","","","","","",""
"","Vespio.ai","Machine Learning / NLP Engineer","Machine Learning","IC-2","N/A","Full Remote","USD","42","51","60","","","","","",""
"","ExpressVPN","Senior Windows Engineer","Backend","IC-3","N/A","Remote","EUR","45","67.5","90","","","","","",""
"","ExpressVPN","Javascript Frontend Engineer (Browser Extension)","Frontend","IC-2","N/A","Remote","EUR","45","65.5","86","","","","","",""
"","ExpressVPN","Senior Apple Engineer","Backend","IC-3","N/A","Remote","EUR","60","75","90","","","","","",""
"","NASH Renewables","Senior Full Stack Developer (React / Node)","Full-stack","IC-3","Barcelona","Remote","EUR","50","65","80","","","","","",""
"","Mimacom","Senior AEM Engineer","Backend","IC-3","Barcelona","Remote","EUR","55","60","65","","","","","",""
"","Between Technology","Devops Engineer","Devops","IC-2","Barcelona","In Office","EUR","50","60","70","","","","","",""
"","PromoFarma/DocMorris","React Frontend Developer","Frontend","IC-2","Barcelona","Remote","EUR","35","42.5","50","","","","","",""
"","Mitek Systems","Data Analyst","Data","IC-2","N/A","Remote","EUR","38","44","50","","","","","",""
"","Fantium","Engineering Lead (React/ TypeScript/Node)","Full-stack","M-1","N/A","Remote","USD","90","120","150","","","","","",""
"","Tinybird","Backend Engineer","Backend","IC-2","N/A","Remote","EUR","60","75","90","","","","","",""
"","Bloobirds","DevOps Engineer","Devops","IC-2","Barcelona","Remote","EUR","45","47.5","50","","","","","",""
"","ProtoPixel","Systems Developer","Backend","IC-2","Barcelona","Remote","EUR","40","45","50","","","","","",""
"","JoeyApp","Senior/staff Software Engineer","Backend","IC-3","Barcelona","In Office","EUR","40","50","60","","","","","",""
"","Playtomic","Senior Backend Engineer Payments","Backend","IC-3","N/A","Remote","EUR","60","62.5","65","","","","","",""
"","Playtomic","Senior Frontend Engineer","Frontend","IC-3","N/A","Remote","EUR","60","62.5","65","","","","","",""
"","Palo Alto Networks","Site Reliability Engineer","Devops","IC-2","Barcelona","Remote","EUR","50","63.5","77","","","","","",""
"","PromoFarma/DocMorris","Data Scientist (m/f/d)","Data","IC-2","Barcelona","Remote","EUR","40","45","50","","","","","",""
"","Docmorris","Senior Fullstack Engineer","Full-stack","IC-3","Barcelona","Remote","EUR","35","42.5","50","","","","","",""
"","Entreprelearners","Junior Frontend Developer","Frontend","IC-1","Barcelona","In Office","EUR","19","19","19","","","","","",""
"","dLocal","Software Java Engineer","Backend","IC-2","N/A","Remote","EUR","60","67.5","75","","","","","",""
"","EQS Group","Engineering Manager","Management","M-2","Barcelona","In Office","EUR","60","75","90","","","","","",""
"","Gartner","Software Engineer (DevOps/Platform Engineering)","Devops","IC-2","Barcelona","In Office","EUR","52","56.5","61","","","","","",""
"","Gartner","Agile Coach","Management","M1","Barcelona","In Office","EUR","58","62","66","","","","","",""
"","Vio.com","Staff Backend Engineer (Golang)","Backend","IC-4","Barcelona","Remote","EUR","70","82.5","95","","","","","",""
"","FactorialHR","Senior Product Designer","Product","P-5","Barcelona","Remote","EUR","50","62.5","75","","","","","",""
"","LambdaLoopers","Full Stack Engineer (PHP)","Full-stack","IC-2","N/A","Remote","EUR","39","45","51","","","","","",""
"","Carolus Invest","Team lead / Senior Full Stack developer","Full-stack","M-1","Barcelona","Remote","EUR","40","47.5","55","","","","","",""
